#	Tc	i	j	k_{i,j}
0	1	1	-1.595805404543651293122414219350374040208225840109643396359450144041204648357293785441206715418762639742149242852060729692188781930358315764388006496239852259185510769640050591669508648170597678368421e9
0	1	2	2.894694785315598319516446254577376885247464811305299274912181595268718804805907869735666681179218956465223971485803634964053451029249553459687572475708238836776723981767151116059171342365080318742527e9
0	1	3	5.391107031059011550174336649875701379016830618242359235712959408146432680957276374517061557237121127762850268259781550865357611959379510944630768921996321561286662177175935751918273611571791725385712e9
0	1	4	-5.764755864909686906288038837069998898595098983799212841358053830096231862187638241154200790142445250172325880433304409498105325255013548985724432169186625670496704745736518977676340839473025633471e-31
0	2	1	5.05008139413906874381760785418823127869891542540771001854609240093332187794005367232493659954871975542592173978818960038520487676587801721326885628672647856522062064711013850475447708002866975576666e8
0	2	2	-3.072663941029361026588404877421757646049434949632849982999509290537027925602386175940551119253874661772605342911044559495028323759167990152667980734184405451288543273338296115875389296680465374737822e10
0	2	3	2.51819878121444673677215502562690968596626602400607291219283607583480050961696415473163541320148348095961786024770812766631190372454465754790576345076884834913923259276421581619930241485167034696317e10
0	2	4	-2.25641385911931692231384372628478293613136512708732317356817042055454844057734287461181167707601152145693899533821297950997724799939916832702351680796132163920918942009115417947286436356781377733065e-29
0	3	1	1.090797265129744418740655505739151358727191574530862062226490271483361558054163591290229256737206496894548751020809482596362056710699882943622201653197104698986971742652935409046613005905047773517077e9
0	3	2	2.783194462497801194636778714478467280709195347090290715489638648279432070661267499622233439948786490700814973313407234968115821260807526426104648094396246667438157088638128064758646464367072857382789e10
0	3	3	-3.057309484320347891789848010772235421064929143772754923747830205398943865688767112645740987772169425272708620482468255768405694450417868075529812775990483955643638894279590491077264053763675995184126e10
0	3	4	4.585869320655951451326318684413310973106654390937575657641909037943255809102428495721203273703536064671068966309820868143233627182100338780235256778156193173846432185561469308195560034912184801795814e-28
0	4	1	-2.071807600446388857276961989667721649367535489097490875173081516201273315832694991682147567712942693762456929368900561080785629900296323523037723898667852552065737317070725322182847654147763555061e-15
0	4	2	-1.84625144473231845068785879706599813475172692760255394721106552489888128337245747320275509430389694928426045644916194054246077826650998272862134765470604891743019231155145192196425019284765034038147e-13
0	4	3	2.593201577555971969800579424460879836981887495000879760753204623994188469738315368057334087819730155580295299352594331609724330220034503757400837977810996861342777548264756823845890597534240218783361e-12
0	4	4	-4.354463178879110072188646272947762680594922779245044127443733942057704733182506570018867905205792467275202740895566265782737797056905408398547180665190874384255016538806617359251470233188019203441093e-28
50	1	1	-6.83627228220088027196234540884021585672076537181326417745558084371543383048469902532771589058621524582289241555081827720896330101190627535753174204331152966937036335316890066125282868880945551897584e9
50	1	2	8.01066407372816154766339923643213605064541498659882674010689323750936429788938535549029144281639679617388683290829305297111155341533992507434698394759699029517465276912350134158001495948172335030791e9
50	1	3	1.452100498079550073774390138911014144315014554585655269564610518134385940404520863316953219152475682920017860655060140344332685654686526507964610037846544478957477218356879708056665254831243828562853e10
50	1	4	1.41814908291673402999690817621182112436208673612662244074957899111251092118516812069966537148511874211261970880096770100644292288483483112011744434364303990818506828396687282439967590257068181114e-25
50	2	1	2.12311026876872018576801162635529804877637642032855477090485637853620299149752342348787200105196331531707222569235250338316566614862920355110714462664823920383777543802431647043299297556712864430979e9
50	2	2	-6.71043236176307917861880702219618958701427564634658569156349263461280524318500429177284635694148088517367922873301354374430698579433693897363116503555741399960975724585869587066614890256673321827271e10
50	2	3	5.28338528356662435179573876600755134496377218011285635825187623568765788960092626030211055604532951354914257374523444688476119288084620578642657134736486015423745423908922176265852088010697069026448e10
50	2	4	-1.9819098721135640083171675468900910405369403851738849453813074950649764103072488371388653783174814532405028245421364037955395928774216430950917486926778117715962676573686776569788495035721619452906e-23
50	3	1	4.71316201343216008620985383596612464417631504138530197226819430515389024389783827416315391116133812762817832021899817983237318055646972993146214021954134653125411574016584545911656875792589573297628e9
50	3	2	5.90936595439026302393117154243859697698089545273848455695748346502450163424035273971671471349443889091897326249467339857263244378453844439231270082134183106492554889731017684320452278247992760643291e10
50	3	3	-6.73548578164617442638745478612470065241461015537257617517303816972712138732060948306359806678471120478100924143281855887678310349439800800441913831160935301470507187616331916626856200089410497214218e10
50	3	4	3.34552818715607327111592683713290839662778578767731322141602288624209682050569584701694146436437480051369299496783465994096728166638307803721783147543768691210459922820432525374176896709074914943324e-22
50	4	1	-1.552005348120683623192608990059256571746983997465940491066267232331002162708619712235813036053240600657554569319265812503754280287805606572152782502126126829673304468356885831023557729874960909106e-11
50	4	2	-7.8704443885620995031161305051781539404680154162632820844286983492897500834597685362682717052489160125436613331735497926116234180544116094833256928363831106696375375861366723190995638145443606149745e-10
50	4	3	8.17325881206135163135823420674064547356551415905077557315162359444534291586906008311848807032523971647689224958865275710027956926397948381510140418717217695553375865955890453314843887318033370478064e-9
50	4	4	-3.14875534902763360431420699062011111369845383589605134931864171572671169039615613142375459190411177393175533222242198726241976530152574855882877405051354877485315753075142436086843197655395104599627e-22
100	1	1	-1.959475173752092887040194393924763675885849414187264331321795876166189793738024522053803960732739700560918786323735924825799478567891373245968009848629338881424001633802885145665775197941253845830353e10
